3
R	DIST10	RR
0.990	100.0	0.976
0.034	0.0	0.687
0.133	0.0	0.214
0.133	0.0	0.214
0.386	0.0	0.759
-0.361	0.0	-0.687
-0.249	0.0	-0.759
0.074	0.0	-0.060
-0.986	0.0	-1.000
0.084	0.0	0.566
0.128	0.0	0.238
0.128	0.0	0.238
0.385	0.0	0.855
-0.429	0.0	-0.735
-0.248	0.0	-0.783
0.076	0.0	-0.060
-0.977	0.0	-0.976
0.079	100.0	0.357
0.079	100.0	0.357
0.166	0.0	0.253
-0.224	0.0	-0.277
0.151	0.0	-0.614
-0.022	0.0	0.060
-0.047	0.0	-0.325
1.000	100.0	1.000
0.140	0.0	0.214
0.162	0.0	0.000
0.191	0.0	0.048
-0.059	0.0	0.190
-0.159	0.0	0.214
0.140	0.0	0.214
0.162	0.0	0.000
0.191	0.0	0.048
-0.059	0.0	0.190
-0.159	0.0	0.214
-0.087	0.0	-0.904
-0.139	0.0	-0.807
-0.115	0.0	0.325
-0.400	0.0	-0.759
0.331	0.0	0.952
-0.011	0.0	-0.325
0.383	0.0	0.663
0.162	0.0	-0.373
0.275	0.0	0.783
-0.065	0.0	0.084
